gpu_id,canonical,aliases,gpu_class,mobile,tier_index,bench_score
intel-iris-xe,Intel Iris Xe Graphics,Iris Xe|Intel Iris Xe|Xe Graphics,integrated,1,0,2100
intel-uhd,Intel UHD Graphics,UHD Graphics|Intel UHD,integrated,1,0,1200
apple-m1-gpu,Apple M1 GPU,M1 GPU|Apple GPU 7-core|Apple GPU 8-core,integrated,1,0,5200
nvidia-mx450,NVIDIA GeForce MX450,MX450|GeForce MX450,discrete,1,1,2900
nvidia-rtx3050m,NVIDIA GeForce RTX 3050 Laptop,RTX 3050|RTX 3050 Laptop|GeForce RTX 3050,discrete,1,2,7600
nvidia-rtx3060m,NVIDIA GeForce RTX 3060 Laptop,RTX 3060|RTX 3060 Laptop|GeForce RTX 3060,discrete,1,3,11200
nvidia-t500,NVIDIA T500,T500|Quadro T500,workstation,1,2,4600
nvidia-rtxa2000m,NVIDIA RTX A2000 Laptop,RTX A2000|A2000,workstation,1,3,8900
